Site,Quadrat,ALLurchbiomass,ALLstipesAdult
1,1,0,4
1,2,0,16
1,3,0,23
1,4,0,7
1,5,0,11
1,6,0,32
1,7,0,34
1,8,0,44
1,9,0,50
1,10,0,4
1,11,0,5
1,12,0,41
1,13,0,15
1,14,0,32
1,15,0,20
1,16,0,19
1,17,0,3
1,18,28.8,30
2,1,0,15
2,2,8.4,14
2,3,0,29
2,4,24.8,15
2,5,1.2,3
2,6,517.3,26
2,7,8,75
2,8,18.3,20
2,9,0,25
2,10,0,11
2,11,0,11
2,12,0,6
2,13,0,7
2,14,0,5
2,15,53.5,7
2,16,28.8,2
2,17,0,8
2,18,0,6
3,1,0,0
3,2,0,1
3,3,0,0
3,4,4382.1,0
3,5,2269.5,0
3,6,0,0
3,7,564.4,12
3,8,4.2,14
3,9,4802.4,0
3,10,0,0
3,11,0,8
3,12,9681.8,0
3,13,0,8
3,14,0,10
3,15,0,22
3,16,0,8
3,17,5925.1,0
3,18,6989.2,0
4,1,2311.8,0
4,2,484.2,0
4,3,1879.3,0
4,4,919,0
4,5,1776.7,0
4,6,395.8,0
4,7,1957.5,0
4,8,1212.3,0
4,9,976.1,0
4,10,3483.2,0
4,11,75.7,18
4,12,0,15
4,13,0,14
4,14,3322.4,0
4,15,6565.9,0
4,16,1821.4,0
4,17,4931.3,0
4,18,4464.8,0
